Basin,Median Depth (m),Injection Rate (Mt/a),Injection Rate (Mt/a) Max,Injection Rate (t/hr) Mean,Injection Rate (t/hr) Max,Cdr ($/m),Cfx ($),Cfc ($),Csd ($),Cme ($),Cac (%),Costj(WellFixed) ($),Costj(ResFixed) ($),Cj(WF) + Cj(RF) ($),Unit Cost of Injection ($/(t/hr)) - investment cost,Unit Cost of Injection ($/(Mt/year)) Mean,Unit Cost of Injection ($/(Mt/year)) Max,Mean to Max Unit Cost Ratio,Operational cost
Songliao Basin,1500,0.42,1.64,47.945205479452056,187.21461187214612,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,60884775.0,29262830.625,90147605.625,1880221.48875,214637156.25,54968052.210365854,3.9047619047619047,56406.644662499995
Turpan-Hami Basin,3000,10.26,28.63,1171.2328767123288,3268.264840182648,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,105417900.0,29262830.625,134680730.625,114990.56532894737,13126776.864035089,4704181.998777506,2.7904483430799223,3449.716959868421
Subei Basin,1750,13.58,34.07,1550.2283105022832,3889.2694063926942,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,68306962.5,29262830.625,97569793.125,62938.98289948453,7184815.399484536,2863803.7312885234,2.508836524300442,1888.1694869845358
Bohai Bay Basin (onshore),2250,23.82,122.77,2719.178082191781,14014.840182648402,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,83151337.5,29262830.625,112414168.125,41341.23059508816,4719318.561083123,915648.514498656,5.154072208228379,1240.2369178526446
Qaidam Basin,3000,9.43,17.56,1076.4840182648402,2004.566210045662,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,105417900.0,29262830.625,134680730.625,125111.68613732768,14282155.951749735,7669745.479783599,1.8621420996818663,3753.3505841198303
Nanxiang Basin,2250,14.86,124.67,1696.3470319634703,14231.735159817352,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,83151337.5,29262830.625,112414168.125,66268.37905619112,7564883.453903096,901693.8166760247,8.38963660834455,1988.0513716857333
Sanjiang Basin,2000,50.05,94.65,5713.470319634704,10804.794520547945,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,75729150.0,29262830.625,104991980.625,18376.218786713285,2097741.8706293707,1109265.5110935024,1.8911088911088911,551.2865636013985
Hailar Basin,1750,0.02,0.06,2.2831050228310503,6.8493150684931505,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,68306962.5,29262830.625,97569793.125,42735569.38875,4878489656.25,1626163218.75,3.0,1282067.0816625
Jianghan Basin,2000,0.08,0.31,9.132420091324201,35.38812785388128,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,75729150.0,29262830.625,104991980.625,11496621.8784375,1312399757.8125,338683808.46774197,3.8749999999999996,344898.656353125
Tarim Basin,2000,5.78,32.5,659.8173515981736,3710.0456621004564,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,75729150.0,29262830.625,104991980.625,159122.7941652249,18164702.530276816,3230522.480769231,5.622837370242214,4773.683824956747
Ordos Basin,2250,0.1,0.79,11.415525114155251,90.18264840182648,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,83151337.5,29262830.625,112414168.125,9847481.12775,1124141681.25,142296415.34810126,7.9,295424.4338325
Ejinjina Basin,1500,0.05,0.12,5.707762557077626,13.698630136986301,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,60884775.0,29262830.625,90147605.625,15793860.5055,1802952112.5,751230046.875,2.4,473815.815165
Hehuai Basin,2500,3.58,51.87,408.675799086758,5921.232876712329,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,90573525.0,29262830.625,119836355.625,293230.85901536315,33473842.353351954,2310321.1032388667,14.488826815642456,8796.925770460894
Qinshui Basin,1100,0.12,0.17,13.698630136986301,19.40639269406393,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,49009275.0,29262830.625,78272105.625,5713863.710625,652267546.875,460424150.7352941,1.4166666666666667,171415.91131875
Erlian Basin,900,4.56,14.67,520.5479452054794,1674.6575342465753,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,43071525.0,29262830.625,72334355.625,138958.1042269737,15862797.286184212,4930767.254601227,3.217105263157895,4168.7431268092105
Junggar Basin,2500,0.8,2.28,91.32420091324201,260.2739726027397,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,90573525.0,29262830.625,119836355.625,1312208.09409375,149795444.53125,52559805.098684214,2.8499999999999996,39366.2428228125
Sichuan Basin,1900,0.01,0.02,1.1415525114155252,2.2831050228310503,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,72760275.0,29262830.625,102023105.625,89372240.5275,10202310562.5,5101155281.25,2.0,2681167.215825
Bohai Bay Basin (offshore),1450,16.81,34.44,1918.9497716894978,3931.5068493150684,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,59400337.5,29262830.625,88663168.125,46204.006708804285,5274429.98958953,2574424.161585366,2.048780487804878,1386.1202012641286
North Yellow Sea Basin,1500,14.77,67.35,1686.0730593607307,7688.356164383562,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,60884775.0,29262830.625,90147605.625,53466.01389810426,6103426.244075829,1338494.5155902007,4.55991875423155,1603.9804169431277
South Yellow Sea Basin,2500,0.07,0.61,7.9908675799086755,69.63470319634703,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,90573525.0,29262830.625,119836355.625,14996663.932500001,1711947937.4999998,196453042.0081967,8.714285714285714,449899.917975
East China Sea Basin,1600,12.0,61.65,1369.86301369863,7037.671232876713,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,63853650.0,29262830.625,93116480.625,67975.03085625,7759706.71875,1510405.200729927,5.1375,2039.2509256874998
Pearl River Mouth Basin,1500,9.3,104.24,1061.6438356164383,11899.543378995433,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,60884775.0,29262830.625,90147605.625,84913.22852419355,9693290.927419353,864808.1890349195,11.208602150537631,2547.3968557258063
Beibu Gulf Basin,1500,24.92,101.3,2844.7488584474886,11563.926940639269,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,60884775.0,29262830.625,90147605.625,31689.12621488764,3617480.1615168536,889907.261846002,4.065008025682182,950.6737864466292
Qiongdongnan Basin,2250,44.43,134.4,5071.917808219178,15342.465753424658,28275.0,8917500.0,6655500.0,26205487.5,1663875.0,0.05,83151337.5,29262830.625,112414168.125,22164.035849088454,2530141.0786630656,836414.94140625,3.024983119513842,664.9210754726536
