type,Investment,FixedOM,Fuel,VariableOM,Startup,NonServedDemand,Total
Steelmaking,188934.51076132705,8.627552631679428e10,2.6993429538941264e7,0.0,0.0,0.0,8.630270868084398e10
AluminumSmelting,814852.8992787797,4.657957836780857e10,0.0,3.397503724212731e7,2.2038108975564293e6,0.0,4.6616572068847534e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,7.246008823762718e6,0.0,0.0,7.246008823762718e6
UpstreamEmissions{IronOre},0.0,0.0,0.0,24392.75820807884,0.0,0.0,24392.75820807884
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.043580434065193e8,0.0,0.0,1.043580434065193e8
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.0185604754920753e6,0.0,0.0,1.0185604754920753e6
DRIMaking,215715.90738158528,32360.52347390239,367.4179262478563,0.0,0.0,0.0,248443.84878173552
OneWayTransmissionLink{IronOre},0.0,0.0,2.0247590500447628e9,6.140997918370159e7,0.0,0.0,2.0861690292284644e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,5.326923857544423e6,1.1748663828495752e7,0.0,0.0,1.7075587686040174e7
CementPlant{Coal},153412.78201840885,4.8040794878824815e7,0.0,1.946985074946011e8,0.0,0.0,2.4289271515544432e8
CO2Injection,21568.523988271852,0.0,0.0,152469.32247213062,0.0,0.0,174037.84646040248
OneWayTransmissionLink{CO2Captured},9.483201408929622e-5,0.0,0.0,0.0004648309152094189,0.0,0.0,0.0005596629292987151
HydroRes,0.0,6.3786179374999985e10,0.0,0.0,0.0,0.0,6.3786179374999985e10
Battery,2.129650473651901e6,3.2694971172996073e9,0.0,0.0,0.0,0.0,3.271626767773259e9
ThermalPower{Coal},2.0455369028131259e6,5.6303032041085945e10,0.0,5.65815933180253e8,86577.2134589579,0.0,5.687098008838247e10
ThermalPower{NaturalGas},6.711841161403617e6,4.855323598437712e9,0.0,3.510842753768622e7,65788.15343361605,0.0,4.8972096552902355e9
ThermalPower{Uranium},150687.51127772382,4.0202824249463944e9,0.0,4.652501578970224e6,7702.850014184647,0.0,4.0250933168866568e9
TransmissionLink{Electricity},3.583201000316811e7,0.0,0.0,0.0,0.0,0.0,3.583201000316811e7
VRE,963047.7750869794,4.607120499497729e6,0.0,0.0,0.0,0.0,5.570168274584709e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,4.3533545931726e6,4.3533545931726e6
Total,4.9227258450924665e7,2.651420995172743e11,2.0570797708591747e9,1.0202085248327544e9,2.363879114463188e6,4.3533545931726e6,2.682753323051248e11
